rank,pair,session,trades,wins,win_rate_pct,pnl_usd,best_variant,best_label
1,EURCHF,NY,35,18,51.4,-85.0,v126_adx30_score12,ADX>30 + |score|>=12 (только сильные тренды)
2,GBPUSD,NY,137,72,52.6,-190.0,v09_exp1h,expiry=1ч
3,GBPCHF,NY,70,37,52.9,-77.5,v185_stoch_contra_score16,Stoch x2 + contrarian + |score|>=16
4,EURAUD,London,81,43,53.1,-72.5,v119_fade_rsi_emph_volat,"fade RSI + emphasis volatility (C,G x2) + |score|>=14"
5,GBPAUD,NY,41,22,53.7,-15.0,v117_exp6h_score16,6h expiry + |score|>=16
6,GBPAUD,Overlap,59,32,54.2,10.0,v23_emph_meanrev,emphasis: mean-reversion (B x2 + C x2)
7,GBPAUD,Asia,33,18,54.5,15.0,v166_macd_strict,MACD x3 + ADX>25 + full MTF + |score|>=18
8,NZDJPY,NY,33,18,54.5,15.0,v203_ultra_macd_ichimoku_adx30,MACD x2 + Ichimoku x2 + ADX>30 + |score|>=20
9,AUDUSD,Overlap,128,70,54.7,75.0,v10_exp2h,expiry=2ч
10,AUDJPY,NY,78,43,55.1,77.5,v204_ultra_stoch_meanrev_strict,"Stoch x2 + mean-rev (B,C x2) + ADX>20 + |score|>=18"
