pair,trades,wins,losses,win_rate_pct,total_pnl_usd,avg_score,note
AUDJPY,1387,733,654,52.8,-1547.5,6.87,
USDJPY,1324,695,629,52.5,-1912.5,4.08,
EURNZD,1338,699,639,52.2,-2242.5,0.93,
CHFJPY,1356,706,650,52.1,-2495.0,5.82,
GBPUSD,1324,690,634,52.1,-2375.0,0.62,
GBPJPY,1383,719,664,52.0,-2642.5,5.42,
USDCAD,1287,667,620,51.8,-2652.5,0.72,
AUDNZD,1354,699,655,51.6,-3042.5,6.11,
CADJPY,1341,692,649,51.6,-3040.0,4.62,
NZDJPY,1339,689,650,51.5,-3217.5,3.28,
AUDCAD,1305,672,633,51.5,-3090.0,4.6,
NZDCHF,1394,716,678,51.4,-3470.0,-1.5,
USDCHF,1319,677,642,51.3,-3327.5,-0.66,
EURJPY,1363,698,665,51.2,-3585.0,6.5,
GBPAUD,1312,671,641,51.1,-3532.5,-4.42,
EURCHF,1341,684,657,51.0,-3780.0,-0.88,
GBPNZD,1305,666,639,51.0,-3645.0,1.16,
AUDUSD,1385,699,686,50.5,-4592.5,3.12,
AUDCHF,1358,685,673,50.4,-4537.5,3.33,
EURCAD,1247,629,618,50.4,-4167.5,1.34,
EURAUD,1323,664,659,50.2,-4730.0,-3.64,
GBPCAD,1282,643,639,50.2,-4622.5,0.28,
NZDUSD,1405,698,707,49.7,-5685.0,-0.19,
EURUSD,1303,647,656,49.7,-5302.5,0.91,
CADCHF,1331,658,673,49.4,-5685.0,-1.33,
NZDCAD,1330,650,680,48.9,-6375.0,-1.13,
GBPCHF,1311,631,680,48.1,-7182.5,-0.9,
EURGBP,1262,598,664,47.4,-7785.0,-0.07,
