pair,session,window_utc_start,window_utc_end,best_variant,best_label,trades,wins,losses,win_rate_pct,pnl_usd,qualifies_70pct
AUDCAD,Asia,0,7,v83_contra_score20,contrarian + |score|>=20 (extreme reversal),17,14,3,82.4,445.0,True
AUDCAD,London,7,13,v116_exp4h_score18,4h expiry + |score|>=18,59,36,23,61.0,380.0,False
AUDCAD,NY,17,22,v83_contra_score20,contrarian + |score|>=20 (extreme reversal),12,9,3,75.0,232.5,True
AUDCAD,Overlap,13,17,v143_ichimoku_full_mtf_score16,Ichimoku x2 + full MTF + |score|>=16,119,68,51,57.1,340.0,False
AUDCHF,Asia,0,7,v83_contra_score20,contrarian + |score|>=20 (extreme reversal),23,16,7,69.6,330.0,False
AUDCHF,London,7,13,v29_pro_contra,PRO: contrarian + |score|>=16 + Asia + exp=4ч,28,21,7,75.0,542.5,True
AUDCHF,NY,17,22,v170_macd_contra_score16,MACD x2 + contrarian + |score|>=16,69,38,31,55.1,65.0,False
AUDCHF,Overlap,13,17,v42_full_mtf_trend,full MTF + structure x2 + |score|>=14,128,82,46,64.1,1185.0,False
AUDJPY,Asia,0,7,v184_stoch_exp2h_score14,Stoch x2 + 2h expiry + |score|>=14,192,117,75,60.9,1222.5,False
AUDJPY,London,7,13,v82_full_mtf_emph_meanrev,"full MTF + emphasis mean-reversion (B,C x2) + |score|>=14",159,95,64,59.7,837.5,False
AUDJPY,NY,17,22,v204_ultra_stoch_meanrev_strict,"Stoch x2 + mean-rev (B,C x2) + ADX>20 + |score|>=18",78,43,35,55.1,77.5,False
AUDJPY,Overlap,13,17,v188_ultra_all_new,ADX>30 + full MTF + MACD/Stoch/Ichimoku x2 + |score|>=22,12,9,3,75.0,232.5,True
AUDNZD,Asia,0,7,v164_macd_emph3_score16,MACD x3 + |score|>=16,128,82,46,64.1,1185.0,False
AUDNZD,London,7,13,v170_macd_contra_score16,MACD x2 + contrarian + |score|>=16,49,35,14,71.4,787.5,True
AUDNZD,NY,17,22,v250_ny_ultra_strict,NY + ADX>25 + MACD x2 + Stoch x2 + full MTF + |score|>=20,11,8,3,72.7,190.0,True
AUDNZD,Overlap,13,17,v12_london,London 07-15 UTC,42,26,16,61.9,305.0,False
AUDUSD,Asia,0,7,v123_adx25_score12,ADX>25 + |score|>=12,93,60,33,64.5,900.0,False
AUDUSD,London,7,13,v230_london_ultra_strict,London + ADX>30 + full MTF + MACD x2 + |score|>=20,22,15,7,68.2,287.5,False
AUDUSD,NY,17,22,v170_macd_contra_score16,MACD x2 + contrarian + |score|>=16,54,34,20,63.0,445.0,False
AUDUSD,Overlap,13,17,v10_exp2h,expiry=2ч,128,70,58,54.7,75.0,False
CADCHF,Asia,0,7,v65_exp1h_score18,1ч + |score|>=18,77,48,29,62.3,590.0,False
CADCHF,London,7,13,v29_pro_contra,PRO: contrarian + |score|>=16 + Asia + exp=4ч,37,29,8,78.4,832.5,True
CADCHF,NY,17,22,v117_exp6h_score16,6h expiry + |score|>=16,52,32,20,61.5,360.0,False
CADCHF,Overlap,13,17,v12_london,London 07-15 UTC,39,24,15,61.5,270.0,False
CADJPY,Asia,0,7,v04_prob75,prob>=75%,12,10,2,83.3,325.0,True
CADJPY,London,7,13,v14_asia,Asia 00-08 UTC,41,27,14,65.9,447.5,False
