rank,pair,session,trades,wins,win_rate_pct,pnl_usd,best_variant,best_label
1,EURJPY,London,42,33,78.6,952.5,v185_stoch_contra_score16,Stoch x2 + contrarian + |score|>=16
2,CADCHF,London,37,29,78.4,832.5,v29_pro_contra,PRO: contrarian + |score|>=16 + Asia + exp=4ч
3,USDCAD,Asia,56,41,73.2,992.5,v126_adx30_score12,ADX>30 + |score|>=12 (только сильные тренды)
4,AUDNZD,London,49,35,71.4,787.5,v170_macd_contra_score16,MACD x2 + contrarian + |score|>=16
5,USDCHF,Overlap,35,25,71.4,562.5,v66_exp2h_score18,2ч + |score|>=18
6,GBPJPY,Asia,48,33,68.8,652.5,v203_ultra_macd_ichimoku_adx30,MACD x2 + Ichimoku x2 + ADX>30 + |score|>=20
7,USDCHF,London,32,22,68.8,435.0,v29_pro_contra,PRO: contrarian + |score|>=16 + Asia + exp=4ч
8,USDJPY,Overlap,57,39,68.4,757.5,v204_ultra_stoch_meanrev_strict,"Stoch x2 + mean-rev (B,C x2) + ADX>20 + |score|>=18"
9,NZDCHF,Overlap,60,41,68.3,792.5,v46_exp3h_score14,exp=3ч + |score|>=14
10,EURGBP,Asia,66,44,66.7,770.0,v170_macd_contra_score16,MACD x2 + contrarian + |score|>=16
