pair,session,event_type,frequency,mean_signed_move_pips,mean_signed_for_event_ccy_pips,abs_mean_move_pips,direction_concordance_pct,dominant_direction_event_ccy,persistence_24h_avg_pct,trap_rate_pct,fundamental_hit_rate_pct,fundamental_match_count
AUDCAD,Asia,cb_rate_decision,4,4.175007343292236,4.175007343292236,35.02488136291504,75.0,up,62.5,50.0,,0
AUDCAD,London,cb_rate_decision,1,-35.4999303817749,35.4999303817749,35.4999303817749,100.0,up,75.0,0.0,,0
AUDCAD,NY,cot_release_neutral,10,-12.12012767791748,0.0,20.759940147399902,50.0,up,10.416666666666668,20.0,,0
AUDCHF,Asia,cb_rate_decision,2,-16.300082206726074,-16.300082206726074,25.70033073425293,50.0,up,87.5,50.0,,0
AUDCHF,London,cb_rate_decision,1,-3.2001733779907227,3.2001733779907227,3.2001733779907227,100.0,up,16.666666666666664,100.0,,0
AUDCHF,NY,cot_release_neutral,8,-16.15002751350403,0.0,23.600012063980103,50.0,up,100.0,0.0,,0
AUDJPY,Asia,cb_rate_decision,3,-22.20001220703125,3.7333170572916665,62.199910481770836,66.66666666666666,up,50.55555555555555,0.0,,0
AUDJPY,NY,cot_release_neutral,7,-29.399980817522323,-14.685712541852679,54.71431187220982,57.14285714285714,down,66.66666666666667,0.0,,0
AUDJPY,NY,cot_extreme_short,1,-102.79998779296875,102.79998779296875,102.79998779296875,100.0,up,0.0,0.0,,0
AUDNZD,Asia,cb_rate_decision,9,6.944470935397678,-9.83330938551161,59.83339415656196,55.55555555555556,up,53.7037037037037,11.11111111111111,,0
AUDNZD,NY,cot_release_neutral,1,-2.7000904083251953,-2.7000904083251953,2.7000904083251953,100.0,down,,0.0,,0
AUDNZD,NY,cot_extreme_short,1,-2.7000904083251953,2.7000904083251953,2.7000904083251953,100.0,up,,0.0,,0
AUDUSD,Asia,cb_rate_decision,1,23.016929626464844,23.016929626464844,23.016929626464844,100.0,up,91.66666666666666,100.0,,0
AUDUSD,London,us_claims,5,-6.747841835021973,6.747841835021973,32.21595287322998,60.0,up,65.83333333333334,20.0,40.0,5
AUDUSD,London,us_gdp,2,-31.419694423675537,31.419694423675537,31.419694423675537,100.0,up,91.66666666666667,50.0,100.0,2
AUDUSD,London,us_pce,2,25.343596935272217,-25.343596935272217,25.343596935272217,100.0,down,60.0,50.0,0.0,2
AUDUSD,London,us_core_pce,2,25.343596935272217,-25.343596935272217,25.343596935272217,100.0,down,60.0,50.0,0.0,2
AUDUSD,London,us_cpi,1,32.07802772521973,-32.07802772521973,32.07802772521973,100.0,down,25.0,0.0,0.0,1
AUDUSD,London,us_core_cpi,1,32.07802772521973,-32.07802772521973,32.07802772521973,100.0,down,25.0,0.0,0.0,1
AUDUSD,London,us_ppi,1,32.07802772521973,-32.07802772521973,32.07802772521973,100.0,down,25.0,0.0,0.0,1
AUDUSD,London,us_refunding,1,-41.82696342468262,41.82696342468262,41.82696342468262,100.0,up,87.5,0.0,,0
AUDUSD,London,us_nfp,1,50.80223083496094,-50.80223083496094,50.80223083496094,100.0,down,0.0,100.0,0.0,1
AUDUSD,London,us_unrate,1,50.80223083496094,-50.80223083496094,50.80223083496094,100.0,down,0.0,100.0,0.0,1
AUDUSD,NY,cb_rate_decision,7,-4.8670598438807895,4.8670598438807895,28.814162526811874,71.42857142857143,up,51.19047619047619,28.57142857142857,,0
AUDUSD,NY,cb_press_conference,7,-4.8670598438807895,4.8670598438807895,28.814162526811874,71.42857142857143,up,51.19047619047619,28.57142857142857,,0
AUDUSD,NY,cot_release_neutral,4,-3.5938620567321777,-3.5938620567321777,22.160112857818604,50.0,up,100.0,0.0,,0
AUDUSD,Overlap,us_claims,4,-46.826452016830444,46.826452016830444,46.826452016830444,100.0,up,32.29166666666667,25.0,75.0,4
AUDUSD,Overlap,us_retail,1,-63.08853626251221,63.08853626251221,63.08853626251221,100.0,up,4.166666666666666,0.0,100.0,1
AUDUSD,Overlap,us_cpi,1,-17.023086547851562,17.023086547851562,17.023086547851562,100.0,up,33.33333333333333,0.0,100.0,1
AUDUSD,Overlap,us_core_cpi,1,-17.023086547851562,17.023086547851562,17.023086547851562,100.0,up,33.33333333333333,0.0,100.0,1
AUDUSD,Overlap,us_ppi,1,-17.023086547851562,17.023086547851562,17.023086547851562,100.0,up,33.33333333333333,0.0,0.0,1
AUDUSD,Overlap,us_gdp,1,-49.517154693603516,49.517154693603516,49.517154693603516,100.0,up,58.333333333333336,100.0,100.0,1
CADCHF,London,cb_rate_decision,1,23.200511932373047,-23.200511932373047,23.200511932373047,100.0,down,12.5,0.0,,0
CADCHF,NY,cot_release_neutral,11,-9.300058538263494,-0.8818236264315519,20.263628526167437,54.54545454545454,down,40.0,0.0,,0
CADCHF,NY,cot_extreme_short,1,9.70005989074707,9.70005989074707,9.70005989074707,100.0,up,0.0,0.0,,0
CADCHF,Overlap,cb_rate_decision,1,18.399953842163086,18.399953842163086,18.399953842163086,100.0,up,66.66666666666666,0.0,,0
CADJPY,Asia,cb_rate_decision,3,0.2665201822916667,-0.2665201822916667,30.466715494791668,66.66666666666666,up,56.944444444444436,66.66666666666666,,0
CADJPY,NY,cot_release_neutral,14,-4.035677228655134,-11.421476091657366,39.77851867675781,57.14285714285714,down,0.0,0.0,,0
CADJPY,NY,cot_extreme_short,2,-42.34962463378906,79.95033264160156,79.95033264160156,100.0,up,0.0,0.0,,0
CHFJPY,Asia,cb_rate_decision,3,-17.86651611328125,17.86651611328125,89.73337809244792,66.66666666666666,up,61.666666666666664,0.0,,0
CHFJPY,London,cb_rate_decision,2,-17.800140380859375,-17.800140380859375,122.90115356445312,50.0,up,45.83333333333333,0.0,,0
CHFJPY,NY,cot_release_neutral,3,29.166158040364582,-16.16668701171875,61.499532063802086,66.66666666666666,down,0.0,0.0,,0
CHFJPY,NY,cot_extreme_short,1,-48.50006103515625,48.50006103515625,48.50006103515625,100.0,up,0.0,0.0,,0
EURAUD,Asia,cb_rate_decision,4,1.6248226165771484,-1.6248226165771484,71.42484188079834,75.0,up,82.29166666666666,25.0,,0
EURAUD,London,cb_rate_decision,1,21.40045166015625,21.40045166015625,21.40045166015625,100.0,up,95.83333333333334,100.0,,0
EURAUD,London,cb_press_conference,1,21.40045166015625,21.40045166015625,21.40045166015625,100.0,up,95.83333333333334,100.0,,0
EURAUD,NY,cot_release_neutral,12,-8.466641108194986,2.449949582417806,53.366621335347496,50.0,up,40.27777777777778,8.333333333333332,,0
EURAUD,NY,cot_extreme_short,1,34.60049629211426,34.60049629211426,34.60049629211426,100.0,up,41.66666666666667,100.0,,0
EURAUD,NY,cot_extreme_long,1,-63.99989128112793,-63.99989128112793,63.99989128112793,100.0,down,0.0,0.0,,0
EURAUD,Overlap,cb_rate_decision,3,35.06660461425781,35.06660461425781,78.79972457885742,66.66666666666666,up,58.333333333333336,0.0,,0
EURAUD,Overlap,cb_press_conference,3,35.06660461425781,35.06660461425781,78.79972457885742,66.66666666666666,up,58.333333333333336,0.0,,0
EURCAD,London,cb_rate_decision,1,-72.10016250610352,72.10016250610352,72.10016250610352,100.0,up,70.83333333333334,0.0,,0
EURCAD,NY,cot_release_neutral,13,-11.992271129901592,-3.376924074613131,43.469025538517876,53.84615384615385,down,20.0,0.0,,0
EURCAD,NY,cot_extreme_short,1,-43.9000129699707,43.9000129699707,43.9000129699707,100.0,up,100.0,0.0,,0
EURCAD,Overlap,cb_rate_decision,1,37.90020942687988,37.90020942687988,37.90020942687988,100.0,up,20.833333333333336,0.0,,0
EURCAD,Overlap,cb_press_conference,1,37.90020942687988,37.90020942687988,37.90020942687988,100.0,up,20.833333333333336,0.0,,0
EURCHF,London,cb_rate_decision,1,37.69993782043457,-37.69993782043457,37.69993782043457,100.0,down,79.16666666666666,0.0,,0
EURCHF,NY,cot_release_neutral,6,-12.49988873799642,0.0,21.433432896931965,50.0,up,0.0,0.0,,0
EURGBP,London,cb_rate_decision,4,-25.199949741363525,4.6500563621521,40.24982452392578,50.0,up,45.833333333333336,0.0,,0
EURGBP,London,cb_press_conference,1,-41.09978675842285,-41.09978675842285,41.09978675842285,100.0,down,0.0,0.0,,0
EURGBP,NY,cot_release_neutral,4,-23.30005168914795,0.0,23.30005168914795,50.0,up,0.0,0.0,,0
EURGBP,Overlap,cb_rate_decision,4,14.075040817260742,7.825195789337158,18.575191497802734,75.0,up,45.83333333333333,75.0,,0
EURGBP,Overlap,cb_press_conference,2,21.9002366065979,21.9002366065979,21.9002366065979,100.0,up,58.33333333333333,50.0,,0
EURJPY,Asia,cb_rate_decision,4,-0.57525634765625,0.57525634765625,51.62506103515625,50.0,up,63.75,50.0,,0
EURJPY,NY,cot_release_neutral,7,-32.227870396205354,-18.885585239955358,44.514247349330354,57.14285714285714,down,0.0,0.0,,0
EURJPY,NY,cot_extreme_short,1,-132.1990966796875,132.1990966796875,132.1990966796875,100.0,up,0.0,0.0,,0
EURJPY,Overlap,cb_rate_decision,1,-69.30084228515625,-69.30084228515625,69.30084228515625,100.0,down,0.0,100.0,,0
EURJPY,Overlap,cb_press_conference,1,-69.30084228515625,-69.30084228515625,69.30084228515625,100.0,down,0.0,100.0,,0
EURNZD,Asia,cb_rate_decision,6,21.54986063639323,-21.54986063639323,143.6173915863037,50.0,up,56.94444444444445,16.666666666666664,,0
EURNZD,NY,cot_release_neutral,5,-13.100147247314453,-0.06008148193359375,41.49961471557617,60.0,down,50.0,0.0,,0
EURNZD,NY,cot_extreme_short,1,-0.30040740966796875,0.30040740966796875,0.30040740966796875,100.0,up,,0.0,,0
EURNZD,Overlap,cb_rate_decision,3,26.80063247680664,26.80063247680664,65.60007731119792,66.66666666666666,up,47.22222222222222,33.33333333333333,,0
EURNZD,Overlap,cb_press_conference,3,26.80063247680664,26.80063247680664,65.60007731119792,66.66666666666666,up,47.22222222222222,33.33333333333333,,0
EURUSD,London,us_claims,3,-12.422402699788412,12.422402699788412,73.98049036661784,66.66666666666666,up,1.3888888888888886,0.0,0.0,3
EURUSD,London,us_refunding,2,-51.01025104522705,51.01025104522705,51.01025104522705,100.0,up,85.41666666666667,0.0,,0
EURUSD,London,us_nfp,2,88.30249309539795,-88.30249309539795,88.30249309539795,100.0,down,55.55555555555555,0.0,50.0,2
EURUSD,London,us_unrate,2,88.30249309539795,-88.30249309539795,88.30249309539795,100.0,down,55.55555555555555,0.0,0.0,2
EURUSD,London,us_cpi,1,92.33713150024414,-92.33713150024414,92.33713150024414,100.0,down,0.0,0.0,0.0,1
EURUSD,London,us_core_cpi,1,92.33713150024414,-92.33713150024414,92.33713150024414,100.0,down,0.0,0.0,0.0,1
EURUSD,London,us_ppi,1,92.33713150024414,-92.33713150024414,92.33713150024414,100.0,down,0.0,0.0,0.0,1
EURUSD,London,us_gdp,1,-86.20381355285645,86.20381355285645,86.20381355285645,100.0,up,87.5,0.0,100.0,1
EURUSD,London,cb_rate_decision,1,-65.83094596862793,-65.83094596862793,65.83094596862793,100.0,down,4.166666666666666,0.0,,0
EURUSD,London,cb_press_conference,1,-65.83094596862793,-65.83094596862793,65.83094596862793,100.0,down,4.166666666666666,0.0,,0
EURUSD,London,us_pce,1,19.327402114868164,-19.327402114868164,19.327402114868164,100.0,down,0.0,100.0,0.0,1
EURUSD,London,us_core_pce,1,19.327402114868164,-19.327402114868164,19.327402114868164,100.0,down,0.0,100.0,0.0,1
EURUSD,NY,cb_rate_decision,6,-29.490192731221516,29.490192731221516,44.4867213567098,83.33333333333334,up,49.305555555555564,0.0,,0
EURUSD,NY,cb_press_conference,6,-29.490192731221516,29.490192731221516,44.4867213567098,83.33333333333334,up,49.305555555555564,0.0,,0
EURUSD,NY,cot_release_neutral,2,55.353641510009766,55.353641510009766,55.353641510009766,100.0,up,0.0,0.0,,0
EURUSD,NY,geo_inauguration,1,-11.018514633178711,11.018514633178711,11.018514633178711,100.0,up,83.33333333333334,0.0,,0
EURUSD,Overlap,us_claims,5,-12.987375259399414,12.987375259399414,34.01350975036621,60.0,up,29.166666666666664,20.0,80.0,5
EURUSD,Overlap,cb_rate_decision,1,19.63496208190918,19.63496208190918,19.63496208190918,100.0,up,12.5,0.0,,0
EURUSD,Overlap,cb_press_conference,1,19.63496208190918,19.63496208190918,19.63496208190918,100.0,up,12.5,0.0,,0
EURUSD,Overlap,us_retail,1,-83.98652076721191,83.98652076721191,83.98652076721191,100.0,up,4.166666666666666,0.0,100.0,1
EURUSD,Overlap,geo_inauguration,1,11.020898818969727,-11.020898818969727,11.020898818969727,100.0,down,0.0,100.0,,0
EURUSD,Overlap,us_pce,1,32.93037414550781,-32.93037414550781,32.93037414550781,100.0,down,91.66666666666666,0.0,0.0,1
EURUSD,Overlap,us_core_pce,1,32.93037414550781,-32.93037414550781,32.93037414550781,100.0,down,91.66666666666666,0.0,0.0,1
GBPAUD,Asia,cb_rate_decision,4,-6.4247846603393555,6.4247846603393555,78.52494716644287,75.0,up,75.0,50.0,,0
GBPAUD,London,cb_rate_decision,3,44.50003306070963,44.50003306070963,65.5666987101237,66.66666666666666,up,61.111111111111114,0.0,,0
GBPAUD,NY,cot_release_neutral,12,-0.3828605016072591,0.0,51.716367403666176,50.0,up,60.0,16.666666666666664,,0
GBPAUD,Overlap,cb_rate_decision,1,89.19954299926758,89.19954299926758,89.19954299926758,100.0,up,0.0,100.0,,0
GBPCAD,London,cb_rate_decision,3,28.966665267944336,28.966665267944336,64.70004717508952,66.66666666666666,up,68.05555555555556,33.33333333333333,,0
GBPCAD,NY,cot_release_neutral,10,4.179954528808594,0.0,39.14022445678711,50.0,up,50.0,0.0,,0
GBPCAD,NY,cot_extreme_short,2,-49.20005798339844,0.0,49.20005798339844,50.0,up,0.0,0.0,,0
GBPCAD,Overlap,cb_rate_decision,3,1.1666615804036458,1.1666615804036458,64.76640701293945,66.66666666666666,down,59.72222222222222,0.0,,0
GBPCHF,London,cb_rate_decision,3,60.76653798421224,27.56675084431966,60.76653798421224,66.66666666666666,up,66.66666666666667,0.0,,0
GBPCHF,NY,cot_release_neutral,8,-6.4498186111450195,0.0,33.34999084472656,50.0,up,100.0,0.0,,0
