event_type,total_matches,n_pair_session_cells,abs_mean_move_pips,persistence_24h_avg_pct,trap_rate_pct,direction_concordance_pct,fundamental_hit_rate_pct
cot_release_neutral,185,28,36.594047798465695,43.4508547008547,2.718253968253968,63.49981367838511,
cb_rate_decision,171,52,55.91714248406872,55.88128306878306,26.042429792429793,75.50976800976801,
us_claims,68,14,54.915308911784166,40.989583333333336,10.552721088435375,66.93877551020407,50.017006802721085
cb_press_conference,56,16,41.36754553942453,44.71478174603175,26.428571428571427,85.38690476190476,
ca_unemp,28,14,53.095308655784244,66.20370370370371,20.238095238095237,90.47619047619047,3.5714285714285716
cot_extreme_short,19,16,64.01255652308464,26.282051282051285,6.25,93.75,
us_core_pce,17,11,51.078975200653076,64.46969696969697,36.36363636363637,86.36363636363636,22.727272727272727
us_pce,17,11,51.078975200653076,64.46969696969697,36.36363636363637,86.36363636363636,22.727272727272727
us_nfp,16,9,66.55216349495782,43.695286195286194,33.333333333333336,90.74074074074073,40.74074074074073
us_ppi,15,11,45.819226178255946,30.530303030303035,4.545454545454546,95.45454545454545,22.727272727272727
us_unrate,15,9,68.42441161473592,43.695286195286194,33.333333333333336,90.74074074074073,9.25925925925926
au_unemp,13,6,48.60290222697788,44.7337962962963,12.5,94.44444444444444,12.5
us_cpi,12,11,45.01992789181796,29.962121212121215,4.545454545454546,100.0,36.36363636363637
us_core_cpi,12,11,45.01992789181796,29.962121212121215,4.545454545454546,100.0,36.36363636363637
us_gdp,12,10,34.757256507873535,72.70833333333334,50.0,100.0,90.0
us_refunding,8,6,53.73391509056091,75.00000000000001,0.0,100.0,
eu_cpi,8,6,80.82937995592754,49.02777777777777,25.0,83.33333333333333,16.666666666666668
jp_unemp,6,5,64.05029296875,80.41666666666666,0.0,100.0,80.0
geo_inauguration,6,6,16.62678321202596,38.19444444444445,50.0,100.0,
us_retail,6,5,70.41122436523438,19.166666666666668,0.0,90.0,90.0
cot_extreme_long,4,3,39.84992504119873,4.166666666666666,50.0,100.0,
