pair,session,n_significant_moves_365d,n_traps,trap_pct_of_significant,top_event_drivers
EURUSD,Asia,23,11,47.82608695652174,
EURUSD,London,18,1,5.555555555555555,"us_claims (n=3, dir=up, conc=67%, persist=1%) | us_refunding (n=2, dir=up, conc=100%, persist=85%) | us_nfp (n=2, dir=down, conc=100%, persist=56%)"
EURUSD,Overlap,21,3,14.285714285714285,"us_claims (n=5, dir=up, conc=60%, persist=29%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=12%) | cb_press_conference (n=1, dir=up, conc=100%, persist=12%)"
EURUSD,NY,21,2,9.523809523809524,"cb_rate_decision (n=6, dir=up, conc=83%, persist=49%) | cb_press_conference (n=6, dir=up, conc=83%, persist=49%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=0%)"
GBPUSD,Asia,20,9,45.0,
GBPUSD,London,19,5,26.31578947368421,"us_claims (n=4, dir=up, conc=50%, persist=36%) | us_ppi (n=2, dir=down, conc=100%, persist=23%) | us_cpi (n=1, dir=down, conc=100%, persist=17%)"
GBPUSD,Overlap,21,3,14.285714285714285,"us_claims (n=8, dir=up, conc=50%, persist=70%) | cb_rate_decision (n=2, dir=up, conc=50%, persist=92%) | us_pce (n=2, dir=up, conc=50%, persist=50%)"
GBPUSD,NY,21,4,19.047619047619047,"cb_rate_decision (n=6, dir=up, conc=83%, persist=50%) | cb_press_conference (n=6, dir=up, conc=83%, persist=50%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=100%)"
USDJPY,Asia,24,5,20.833333333333336,"cb_rate_decision (n=3, dir=down, conc=67%, persist=74%) | jp_unemp (n=1, dir=up, conc=100%, persist=100%)"
USDJPY,London,25,5,20.0,"us_claims (n=4, dir=up, conc=75%, persist=47%) | us_nfp (n=3, dir=down, conc=67%, persist=88%) | us_unrate (n=3, dir=down, conc=67%, persist=88%)"
USDJPY,Overlap,19,1,5.263157894736842,"us_claims (n=6, dir=down, conc=67%, persist=33%) | us_retail (n=1, dir=up, conc=100%, persist=21%) | us_refunding (n=1, dir=up, conc=100%, persist=4%)"
USDJPY,NY,18,10,55.55555555555556,"cb_rate_decision (n=5, dir=up, conc=80%, persist=80%) | cb_press_conference (n=5, dir=up, conc=80%, persist=80%) | cot_release_neutral (n=1, dir=up, conc=100%, persist=0%)"
USDCHF,Asia,24,11,45.83333333333333,
USDCHF,London,19,4,21.052631578947366,"us_claims (n=4, dir=up, conc=50%, persist=38%) | us_refunding (n=2, dir=up, conc=100%, persist=81%) | us_nfp (n=2, dir=down, conc=100%, persist=72%)"
USDCHF,Overlap,19,2,10.526315789473683,"us_claims (n=3, dir=down, conc=67%, persist=44%) | us_retail (n=2, dir=up, conc=50%, persist=46%) | us_ppi (n=2, dir=up, conc=50%, persist=54%)"
USDCHF,NY,19,3,15.789473684210526,"cb_rate_decision (n=6, dir=up, conc=83%, persist=63%) | cb_press_conference (n=6, dir=up, conc=83%, persist=63%) | cot_release_neutral (n=2, dir=up, conc=100%, persist=100%)"
AUDUSD,Asia,20,7,35.0,"au_unemp (n=2, dir=down, conc=100%, persist=46%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=92%)"
AUDUSD,London,20,7,35.0,"us_claims (n=5, dir=up, conc=60%, persist=66%) | us_gdp (n=2, dir=up, conc=100%, persist=92%) | us_pce (n=2, dir=down, conc=100%, persist=60%)"
AUDUSD,Overlap,16,5,31.25,"us_claims (n=4, dir=up, conc=100%, persist=32%) | us_retail (n=1, dir=up, conc=100%, persist=4%) | us_cpi (n=1, dir=up, conc=100%, persist=33%)"
AUDUSD,NY,28,11,39.285714285714285,"cb_rate_decision (n=7, dir=up, conc=71%, persist=51%) | cb_press_conference (n=7, dir=up, conc=71%, persist=51%) | cot_release_neutral (n=4, dir=up, conc=50%, persist=100%)"
USDCAD,Asia,23,13,56.52173913043478,
USDCAD,London,23,11,47.82608695652174,"us_claims (n=4, dir=up, conc=75%, persist=23%) | us_cpi (n=2, dir=down, conc=100%, persist=34%) | us_core_cpi (n=2, dir=down, conc=100%, persist=34%)"
USDCAD,Overlap,19,1,5.263157894736842,"us_claims (n=5, dir=up, conc=60%, persist=41%) | us_nfp (n=2, dir=down, conc=100%, persist=100%) | ca_unemp (n=2, dir=up, conc=100%, persist=100%)"
USDCAD,NY,24,3,12.5,"cot_release_neutral (n=8, dir=up, conc=75%, persist=50%) | cb_rate_decision (n=5, dir=up, conc=60%, persist=69%) | cb_press_conference (n=5, dir=up, conc=60%, persist=69%)"
NZDUSD,Asia,20,5,25.0,"cb_rate_decision (n=6, dir=up, conc=50%, persist=44%)"
NZDUSD,London,20,6,30.0,"us_claims (n=7, dir=up, conc=57%, persist=58%) | us_ppi (n=2, dir=down, conc=100%, persist=38%) | us_gdp (n=2, dir=up, conc=100%, persist=94%)"
NZDUSD,Overlap,20,5,25.0,"us_claims (n=6, dir=up, conc=100%, persist=55%) | us_retail (n=1, dir=up, conc=100%, persist=21%) | us_cpi (n=1, dir=up, conc=100%, persist=58%)"
NZDUSD,NY,25,6,24.0,"cb_rate_decision (n=7, dir=up, conc=71%, persist=55%) | cb_press_conference (n=7, dir=up, conc=71%, persist=55%) | cot_release_neutral (n=3, dir=up, conc=67%, persist=100%)"
EURGBP,Asia,19,7,36.84210526315789,
EURGBP,London,17,0,0.0,"cb_rate_decision (n=4, dir=up, conc=50%, persist=46%) | cb_press_conference (n=1, dir=down, conc=100%, persist=0%)"
EURGBP,Overlap,21,5,23.809523809523807,"cb_rate_decision (n=4, dir=up, conc=75%, persist=46%) | cb_press_conference (n=2, dir=up, conc=100%, persist=58%)"
EURGBP,NY,21,10,47.61904761904761,"cot_release_neutral (n=4, dir=up, conc=50%, persist=0%)"
EURJPY,Asia,21,7,33.33333333333333,"cb_rate_decision (n=4, dir=up, conc=50%, persist=64%)"
EURJPY,London,21,3,14.285714285714285,"eu_cpi (n=2, dir=up, conc=50%, persist=46%)"
EURJPY,Overlap,22,3,13.636363636363637,"cb_rate_decision (n=1, dir=down, conc=100%, persist=0%) | cb_press_conference (n=1, dir=down, conc=100%, persist=0%)"
EURJPY,NY,22,6,27.27272727272727,"cot_release_neutral (n=7, dir=down, conc=57%, persist=0%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=0%)"
EURCHF,Asia,17,8,47.05882352941176,
EURCHF,London,24,9,37.5,"eu_cpi (n=2, dir=up, conc=50%, persist=17%) | cb_rate_decision (n=1, dir=down, conc=100%, persist=79%)"
EURCHF,Overlap,21,5,23.809523809523807,
EURCHF,NY,17,9,52.94117647058824,"cot_release_neutral (n=6, dir=up, conc=50%, persist=0%)"
EURAUD,Asia,20,3,15.0,"cb_rate_decision (n=4, dir=up, conc=75%, persist=82%) | au_unemp (n=2, dir=down, conc=100%, persist=62%)"
EURAUD,London,22,9,40.909090909090914,"eu_cpi (n=1, dir=down, conc=100%, persist=50%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=96%) | cb_press_conference (n=1, dir=up, conc=100%, persist=96%)"
EURAUD,Overlap,18,6,33.33333333333333,"cb_rate_decision (n=3, dir=up, conc=67%, persist=58%) | cb_press_conference (n=3, dir=up, conc=67%, persist=58%)"
EURAUD,NY,25,9,36.0,"cot_release_neutral (n=12, dir=up, conc=50%, persist=40%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=42%) | cot_extreme_long (n=1, dir=down, conc=100%, persist=0%)"
EURCAD,Asia,16,7,43.75,
EURCAD,London,20,6,30.0,"ca_unemp (n=2, dir=down, conc=100%, persist=78%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=71%) | eu_cpi (n=1, dir=down, conc=100%, persist=90%)"
EURCAD,Overlap,18,6,33.33333333333333,"ca_unemp (n=2, dir=up, conc=50%, persist=50%) | cb_rate_decision (n=1, dir=up, conc=100%, persist=21%) | cb_press_conference (n=1, dir=up, conc=100%, persist=21%)"
EURCAD,NY,18,0,0.0,"cot_release_neutral (n=13, dir=down, conc=54%, persist=20%) | cot_extreme_short (n=1, dir=up, conc=100%, persist=100%)"
EURNZD,Asia,18,4,22.22222222222222,"cb_rate_decision (n=6, dir=up, conc=50%, persist=57%)"
EURNZD,London,27,12,44.44444444444444,"eu_cpi (n=1, dir=down, conc=100%, persist=92%)"
