pair,session,n_total_cells,n_significant,n_traps,significant_pct_of_total,trap_pct_of_significant,trap_pct_of_total
AUDNZD,NY,252,18,16,7.142857142857142,88.88888888888889,6.349206349206349
NZDCHF,NY,252,19,13,7.5396825396825395,68.42105263157895,5.158730158730158
CHFJPY,NY,251,18,12,7.171314741035857,66.66666666666666,4.780876494023905
NZDCAD,NY,252,25,16,9.920634920634921,64.0,6.349206349206349
EURNZD,NY,252,22,14,8.73015873015873,63.63636363636363,5.555555555555555
GBPNZD,NY,251,22,14,8.764940239043826,63.63636363636363,5.577689243027888
CADCHF,Asia,252,21,13,8.333333333333332,61.904761904761905,5.158730158730158
USDCAD,Asia,252,23,13,9.126984126984127,56.52173913043478,5.158730158730158
USDJPY,NY,252,18,10,7.142857142857142,55.55555555555556,3.968253968253968
EURCHF,NY,252,17,9,6.746031746031746,52.94117647058824,3.571428571428571
GBPCHF,NY,251,20,10,7.968127490039841,50.0,3.9840637450199203
AUDCHF,NY,252,18,9,7.142857142857142,50.0,3.571428571428571
NZDCHF,Overlap,252,18,9,7.142857142857142,50.0,3.571428571428571
AUDCHF,London,252,16,8,6.349206349206349,50.0,3.1746031746031744
AUDCAD,NY,252,25,12,9.920634920634921,48.0,4.761904761904762
EURUSD,Asia,252,23,11,9.126984126984127,47.82608695652174,4.365079365079365
USDCAD,London,252,23,11,9.126984126984127,47.82608695652174,4.365079365079365
NZDJPY,NY,251,23,11,9.163346613545817,47.82608695652174,4.382470119521913
EURGBP,NY,252,21,10,8.333333333333332,47.61904761904761,3.968253968253968
EURCHF,Asia,252,17,8,6.746031746031746,47.05882352941176,3.1746031746031744
USDCHF,Asia,252,24,11,9.523809523809524,45.83333333333333,4.365079365079365
GBPAUD,NY,251,24,11,9.56175298804781,45.83333333333333,4.382470119521913
GBPUSD,Asia,252,20,9,7.936507936507936,45.0,3.571428571428571
EURNZD,London,251,27,12,10.756972111553784,44.44444444444444,4.780876494023905
EURCAD,Asia,252,16,7,6.349206349206349,43.75,2.7777777777777777
AUDJPY,NY,251,21,9,8.366533864541832,42.857142857142854,3.5856573705179287
NZDCHF,Asia,252,21,9,8.333333333333332,42.857142857142854,3.571428571428571
GBPNZD,Overlap,252,17,7,6.746031746031746,41.17647058823529,2.7777777777777777
AUDCHF,Asia,252,17,7,6.746031746031746,41.17647058823529,2.7777777777777777
EURAUD,London,251,22,9,8.764940239043826,40.909090909090914,3.5856573705179287
CADCHF,NY,252,22,9,8.73015873015873,40.909090909090914,3.571428571428571
AUDNZD,Overlap,252,20,8,7.936507936507936,40.0,3.1746031746031744
AUDUSD,NY,252,28,11,11.11111111111111,39.285714285714285,4.365079365079365
GBPJPY,NY,251,18,7,7.171314741035857,38.88888888888889,2.788844621513944
GBPAUD,Overlap,252,13,5,5.158730158730158,38.46153846153847,1.984126984126984
EURCHF,London,250,24,9,9.6,37.5,3.5999999999999996
GBPCAD,London,252,24,9,9.523809523809524,37.5,3.571428571428571
AUDCAD,London,252,27,10,10.714285714285714,37.03703703703704,3.968253968253968
EURGBP,Asia,252,19,7,7.5396825396825395,36.84210526315789,2.7777777777777777
EURAUD,NY,252,25,9,9.920634920634921,36.0,3.571428571428571
GBPCAD,Asia,252,25,9,9.920634920634921,36.0,3.571428571428571
GBPCHF,Asia,252,14,5,5.555555555555555,35.714285714285715,1.984126984126984
AUDUSD,Asia,252,20,7,7.936507936507936,35.0,2.7777777777777777
AUDUSD,London,252,20,7,7.936507936507936,35.0,2.7777777777777777
GBPJPY,Asia,252,26,9,10.317460317460316,34.61538461538461,3.571428571428571
EURJPY,Asia,252,21,7,8.333333333333332,33.33333333333333,2.7777777777777777
AUDCAD,Asia,252,21,7,8.333333333333332,33.33333333333333,2.7777777777777777
EURAUD,Overlap,251,18,6,7.171314741035857,33.33333333333333,2.3904382470119523
EURCAD,Overlap,251,18,6,7.171314741035857,33.33333333333333,2.3904382470119523
GBPJPY,London,251,22,7,8.764940239043826,31.818181818181817,2.788844621513944
CADJPY,Asia,252,22,7,8.73015873015873,31.818181818181817,2.7777777777777777
CADJPY,London,251,22,7,8.764940239043826,31.818181818181817,2.788844621513944
AUDUSD,Overlap,252,16,5,6.349206349206349,31.25,1.984126984126984
AUDJPY,London,251,23,7,9.163346613545817,30.434782608695656,2.788844621513944
NZDCAD,London,252,23,7,9.126984126984127,30.434782608695656,2.7777777777777777
