t,sym,dir,raw,score,fwr,why,win,month
2025-06-12 05:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-12 10:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-12 20:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-13 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-13 05:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-13 10:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-13 15:00:00+00:00,USDCHF,SELL,1.2000000000000002,1.2000000000000002,0.5,RSI высокий,True,2025-06
2025-06-16 00:00:00+00:00,EURJPY,BUY,1.1,1.1,0.5,импульс вверх,False,2025-06
2025-06-17 00:00:00+00:00,USDCHF,SELL,2.0,2.0,0.5,верх диапазона+RSI высокий,True,2025-06
2025-06-17 05:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-17 20:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-18 00:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-18 05:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-18 10:00:00+00:00,EURJPY,BUY,2.1,2.1,0.5,низ диапазона,True,2025-06
2025-06-19 00:00:00+00:00,EURJPY,BUY,1.6,1.6,0.5,низ диапазона,False,2025-06
2025-06-19 05:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-19 20:00:00+00:00,USDCHF,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-20 05:00:00+00:00,USDCHF,BUY,1.6,1.6,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-20 20:00:00+00:00,EURJPY,SELL,1.5,1.5,0.5,верх диапазона+RSI высокий,False,2025-06
2025-06-23 00:00:00+00:00,EURUSD,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-23 05:00:00+00:00,EURUSD,BUY,1.1,1.1,0.5,импульс вверх,False,2025-06
2025-06-23 10:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-23 15:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-23 20:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
2025-06-24 00:00:00+00:00,EURJPY,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-24 05:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-06
2025-06-24 10:00:00+00:00,EURJPY,BUY,2.4,2.4799999999999995,0.5333333333333333,низ диапазона+RSI низкий,False,2025-06
2025-06-24 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2000000000000002,0.5,RSI низкий,False,2025-06
2025-06-24 20:00:00+00:00,USDCHF,BUY,2.1,2.17,0.5333333333333333,низ диапазона+RSI низкий,False,2025-06
2025-06-25 00:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-06
