t,entry,exit,dir,score,basis,sm_bias,sm_score,rsi,pos,sweep,month,slot
2025-06-12 05:00:00+00:00,1.1531364917755127,1.15968918800354,BUY,4.5,False,BUY,2.5,71.84796517880226,0.9868943326208987,,2025-06,5
2025-06-12 10:00:00+00:00,1.15968918800354,1.158077597618103,BUY,4.5,False,BUY,2.5,82.13383890480372,0.9560759210436711,,2025-06,10
2025-06-12 15:00:00+00:00,1.158077597618103,1.1588828563690186,BUY,4.5,False,BUY,2.5,66.44509795563849,0.6521374492182691,,2025-06,15
2025-06-12 20:00:00+00:00,1.1588828563690186,1.1551345586776733,BUY,4.5,False,BUY,2.5,67.85363353062691,0.6279519750781227,,2025-06,20
2025-06-13 00:00:00+00:00,1.1560693979263306,1.1535356044769287,BUY,4.5,False,SELL,-2.0,50.52935099343921,0.3996207540415816,,2025-06,0
2025-06-13 05:00:00+00:00,1.1535356044769287,1.1508804559707642,BUY,4.5,False,,-1.5,43.304340899397886,0.15773298016458742,,2025-06,5
2025-06-13 10:00:00+00:00,1.1508804559707642,1.1559356451034546,BUY,4.5,False,,-1.5,35.89777154104708,0.11261517230182246,BUY,2025-06,10
2025-06-13 15:00:00+00:00,1.1559356451034546,1.1558021306991577,SELL,4.5,True,SELL,-4.5,56.294533832611634,0.5429232455250234,BUY,2025-06,15
2025-06-16 00:00:00+00:00,1.1539349555969238,1.1560693979263306,SELL,4.5,True,SELL,-3.5,47.04757970187141,0.5773469804883418,SELL,2025-06,0
2025-06-16 05:00:00+00:00,1.1560693979263306,1.1579434871673584,BUY,4.5,False,SELL,-2.5,57.685290115176514,0.8588588588588588,,2025-06,5
2025-06-16 10:00:00+00:00,1.1579434871673584,1.1583458185195923,BUY,4.5,False,SELL,-3.0,61.45802913223437,0.8471357349318125,,2025-06,10
2025-06-16 15:00:00+00:00,1.1583458185195923,1.156336784362793,BUY,4.5,False,,0.0,56.99764113578041,0.625044841559822,,2025-06,15
2025-06-16 20:00:00+00:00,1.156336784362793,1.1558021306991577,BUY,4.5,False,,1.5,47.70758594041194,0.4011293429881087,,2025-06,20
2025-06-17 00:00:00+00:00,1.155401587486267,1.1560693979263306,BUY,4.5,False,BUY,2.0,43.823852136603804,0.17449496919117075,,2025-06,0
2025-06-17 05:00:00+00:00,1.1560693979263306,1.157139539718628,BUY,4.5,False,BUY,2.0,47.32571557369487,0.19138355321621436,,2025-06,5
2025-06-17 10:00:00+00:00,1.157139539718628,1.1536686420440674,BUY,4.5,False,,1.0,54.273816821541566,0.4725943970767357,,2025-06,10
2025-06-17 15:00:00+00:00,1.1536686420440674,1.148369312286377,BUY,4.5,False,SELL,-2.0,39.66698888602756,0.34661068019673025,BUY,2025-06,15
2025-06-17 20:00:00+00:00,1.148369312286377,1.1500862836837769,BUY,3.5,False,,-1.0,28.196901060351294,0.053619920473280965,,2025-06,20
2025-06-18 00:00:00+00:00,1.1496896743774414,1.1508804559707642,BUY,3.5,False,SELL,-2.0,38.09316283082129,0.18789399670255066,,2025-06,0
2025-06-18 05:00:00+00:00,1.1508804559707642,1.1496896743774414,BUY,4.5,False,,-1.0,44.567722964292805,0.30899039860343325,,2025-06,5
2025-06-18 10:00:00+00:00,1.1496896743774414,1.1524720191955566,BUY,3.5,False,,-0.5,40.00697431956084,0.28457852119787747,,2025-06,10
2025-06-18 15:00:00+00:00,1.1524720191955566,1.148369312286377,BUY,4.5,False,SELL,-2.5,54.85403191589696,0.8970160284539702,,2025-06,15
2025-06-18 20:00:00+00:00,1.148369312286377,1.1456066370010376,BUY,3.5,False,,-0.5,40.61105426033912,0.2697473466704236,BUY,2025-06,20
2025-06-19 00:00:00+00:00,1.1485011577606201,1.1460003852844238,BUY,3.5,False,,-1.5,42.34528664900731,0.3320186763821584,,2025-06,0
2025-06-19 05:00:00+00:00,1.1460003852844238,1.1477103233337402,BUY,3.5,False,,-0.5,37.35436760374584,0.06973761302275498,,2025-06,5
2025-06-19 10:00:00+00:00,1.1477103233337402,1.1463946104049683,BUY,3.5,False,BUY,2.0,46.50664196228784,0.33180340697044486,BUY,2025-06,10
2025-06-19 15:00:00+00:00,1.1463946104049683,1.1500862836837769,BUY,2.5,False,,-1.0,40.76872384284988,0.3218095210263304,BUY,2025-06,15
2025-06-19 20:00:00+00:00,1.1500862836837769,1.1518083810806274,BUY,3.5,False,,1.0,58.66902962221088,0.9497952442362949,BUY,2025-06,20
2025-06-20 00:00:00+00:00,1.1526048183441162,1.1531364917755127,BUY,4.5,False,BUY,2.0,67.56536488959276,0.9826383482295786,,2025-06,0
2025-06-20 05:00:00+00:00,1.1531364917755127,1.1527377367019653,BUY,4.5,False,BUY,2.0,66.29835392865161,0.9479404767458133,,2025-06,5
2025-06-20 10:00:00+00:00,1.1527377367019653,1.152339220046997,BUY,4.5,False,BUY,2.0,61.174516671032286,0.8658631882664102,,2025-06,10
2025-06-20 15:00:00+00:00,1.152339220046997,1.1526048183441162,BUY,4.5,False,BUY,2.0,56.57748249761214,0.655403887203685,,2025-06,15
2025-06-23 00:00:00+00:00,1.1491611003875732,1.151543140411377,BUY,3.5,False,,1.0,38.393642575093516,0.105875152998776,BUY,2025-06,0
2025-06-23 05:00:00+00:00,1.151543140411377,1.1466574668884277,BUY,4.5,True,BUY,3.5,51.891992093650934,0.5456705475034792,BUY,2025-06,5
2025-06-23 10:00:00+00:00,1.1466574668884277,1.154068112373352,BUY,3.5,False,,-0.5,33.756217699985584,0.10221550855991944,SELL,2025-06,10
2025-06-23 15:00:00+00:00,1.154068112373352,1.158077597618103,BUY,4.5,True,BUY,4.0,62.05909610782811,0.8740884357996123,BUY,2025-06,15
2025-06-23 20:00:00+00:00,1.158077597618103,1.1594202518463135,BUY,4.5,False,,0.0,70.55873864416151,0.9684158332475746,BUY,2025-06,20
2025-06-24 00:00:00+00:00,1.1602274179458618,1.161440134048462,BUY,4.5,False,,-1.0,74.60339699656912,0.9388913778986235,,2025-06,0
2025-06-24 05:00:00+00:00,1.161440134048462,1.1599582433700562,BUY,4.5,False,,-1.0,74.57053344964476,0.9826752372206917,,2025-06,5
2025-06-24 10:00:00+00:00,1.1599582433700562,1.161170482635498,SELL,4.5,True,SELL,-4.0,60.42478888839066,0.745017320742182,SELL,2025-06,10
2025-06-24 15:00:00+00:00,1.161170482635498,1.161170482635498,BUY,4.5,False,SELL,-3.0,59.90450324027326,0.5496217660546318,SELL,2025-06,15
2025-06-24 20:00:00+00:00,1.161170482635498,1.1631964445114136,BUY,4.5,False,SELL,-3.0,56.31491083981408,0.44885334275993105,SELL,2025-06,20
2025-06-25 00:00:00+00:00,1.1629259586334229,1.16225004196167,BUY,4.5,False,,-1.0,61.51007822685645,0.7742035261367152,,2025-06,0
2025-06-25 05:00:00+00:00,1.16225004196167,1.1607661247253418,BUY,4.5,False,SELL,-2.0,56.952737936307074,0.6489328796783174,,2025-06,5
2025-06-25 10:00:00+00:00,1.1607661247253418,1.1623852252960205,BUY,4.5,False,SELL,-3.0,49.744262573438334,0.3325674561093437,SELL,2025-06,10
2025-06-25 15:00:00+00:00,1.1623852252960205,1.1663167476654053,BUY,4.5,False,,0.5,57.093345397012854,0.7326499351950041,,2025-06,15
2025-06-25 20:00:00+00:00,1.1663167476654053,1.1689070463180542,BUY,4.5,False,,-1.5,68.4343573958038,0.9268331757958314,,2025-06,20
2025-06-26 00:00:00+00:00,1.1684973239898682,1.168770432472229,BUY,4.5,False,SELL,-3.0,72.35431152780825,0.9300144123897697,SELL,2025-06,0
2025-06-26 05:00:00+00:00,1.168770432472229,1.1719207763671875,BUY,4.5,False,SELL,-3.0,66.9598736080365,0.7914333282881792,,2025-06,5
2025-06-26 10:00:00+00:00,1.1719207763671875,1.1719207763671875,BUY,4.5,False,,-1.0,69.44204643378418,0.7894504482023917,,2025-06,10
2025-06-26 15:00:00+00:00,1.1719207763671875,1.1704120635986328,BUY,4.5,False,SELL,-2.0,63.028728034488594,0.7105384686432068,,2025-06,15
2025-06-26 20:00:00+00:00,1.1704120635986328,1.1704120635986328,BUY,4.5,False,,1.0,53.33334926898416,0.4324572628539554,,2025-06,20
2025-06-27 00:00:00+00:00,1.1695905923843384,1.1691803932189941,BUY,4.5,False,,0.0,50.02024781470386,0.2489363628134335,,2025-06,0
2025-06-27 05:00:00+00:00,1.1691803932189941,1.171783447265625,BUY,4.5,False,,1.0,47.77739632029878,0.11852801853422419,,2025-06,5
2025-06-27 10:00:00+00:00,1.171783447265625,1.1727453470230103,BUY,4.5,True,BUY,4.5,57.850820259030804,0.5702169910845417,,2025-06,10
2025-06-27 15:00:00+00:00,1.1727453470230103,1.172195553779602,BUY,4.5,True,BUY,5.5,56.94940856052409,0.6313113418134146,SELL,2025-06,15
2025-06-30 00:00:00+00:00,1.172195553779602,1.1728830337524414,BUY,4.5,True,BUY,5.5,53.506792615211964,0.5305511956421383,SELL,2025-06,0
2025-06-30 05:00:00+00:00,1.1728830337524414,1.1728830337524414,BUY,4.5,True,BUY,5.5,55.201487850159076,0.6124300023661172,,2025-06,5
2025-06-30 10:00:00+00:00,1.1728830337524414,1.1774401664733887,BUY,4.5,True,BUY,4.5,52.87108337842827,0.5987469879518073,SELL,2025-06,10
2025-06-30 15:00:00+00:00,1.1774401664733887,1.1791062355041504,BUY,4.5,False,BUY,2.5,66.603392168684,1.0,BUY,2025-06,15
2025-06-30 20:00:00+00:00,1.1791062355041504,1.1784114837646484,BUY,4.5,False,BUY,2.5,69.12749454836653,0.9826339285714286,BUY,2025-06,20
2025-07-01 00:00:00+00:00,1.1800801753997803,1.1789672374725342,BUY,4.5,False,,1.5,70.74652551470422,1.0,,2025-07,0
2025-07-01 05:00:00+00:00,1.1789672374725342,1.1816140413284302,BUY,4.5,False,,1.5,62.31034695386979,0.7986874669096371,SELL,2025-07,5
2025-07-01 10:00:00+00:00,1.1816140413284302,1.177994966506958,BUY,4.5,False,,1.5,69.07592292800653,0.834725460554972,,2025-07,10
2025-07-01 15:00:00+00:00,1.177994966506958,1.1809163093566895,BUY,4.5,False,,-1.0,47.9383888309476,0.11851006602005053,SELL,2025-07,15
2025-07-01 20:00:00+00:00,1.1809163093566895,1.1796625852584839,BUY,4.5,False,,0.0,59.43802362141402,0.6653939480445332,,2025-07,20
2025-07-02 00:00:00+00:00,1.1810559034347534,1.1791062355041504,BUY,4.5,False,,-1.0,59.665124054536506,0.6862867542106765,,2025-07,0
2025-07-02 05:00:00+00:00,1.1791062355041504,1.177024483680725,BUY,4.5,False,BUY,2.5,48.51446962994397,0.4305493349950344,,2025-07,5
2025-07-02 10:00:00+00:00,1.177024483680725,1.1792453527450562,BUY,4.5,False,,-0.5,39.29259807687752,0.11388031171886487,,2025-07,10
