t,entry,exit,dir,score,basis,sm_bias,sm_score,rsi,pos,sweep,month,slot,move,trend_dir,up,d,why,win
2025-06-12 05:00:00+00:00,1.1531364917755127,1.15968918800354,BUY,4.5,False,BUY,2.5,71.84796517880226,0.9868943326208988,,2025-06,5,0.006552696228027344,BUY,True,SELL,вдогонку нельзя → контртренд,False
2025-06-12 10:00:00+00:00,1.15968918800354,1.158077597618103,BUY,4.5,False,BUY,2.5,82.13383890480372,0.9560759210436712,,2025-06,10,-0.0016115903854370117,BUY,False,SELL,RSI-перекупленность,True
2025-06-12 15:00:00+00:00,1.158077597618103,1.1588828563690186,BUY,4.5,False,BUY,2.5,66.44509795563849,0.6521374492182691,,2025-06,15,0.0008052587509155273,BUY,True,SELL,вдогонку нельзя → контртренд,False
2025-06-12 20:00:00+00:00,1.1588828563690186,1.1551345586776731,BUY,4.5,False,BUY,2.5,67.85363353062691,0.6279519750781227,,2025-06,20,-0.003748297691345437,BUY,False,SELL,вдогонку нельзя → контртренд,True
2025-06-13 00:00:00+00:00,1.1560693979263306,1.1535356044769287,BUY,4.5,False,SELL,-2.0,50.52935099343921,0.3996207540415816,,2025-06,0,-0.0025337934494018555,BUY,False,BUY,тренд BUY на откате,False
2025-06-13 05:00:00+00:00,1.1535356044769287,1.1508804559707642,BUY,4.5,False,,-1.5,43.304340899397886,0.1577329801645874,,2025-06,5,-0.0026551485061645508,BUY,False,BUY,тренд BUY на откате,False
2025-06-13 10:00:00+00:00,1.1508804559707642,1.1559356451034546,BUY,4.5,False,,-1.5,35.89777154104708,0.1126151723018224,BUY,2025-06,10,0.00505518913269043,BUY,True,BUY,у низа диапазона → BUY,True
2025-06-13 15:00:00+00:00,1.1559356451034546,1.1558021306991575,SELL,4.5,True,SELL,-4.5,56.294533832611634,0.5429232455250234,BUY,2025-06,15,-0.00013351440429709704,BUY,False,SELL,крупные (сильный вердикт),True
2025-06-16 00:00:00+00:00,1.1539349555969238,1.1560693979263306,SELL,4.5,True,SELL,-3.5,47.04757970187141,0.5773469804883418,SELL,2025-06,0,0.0021344423294067383,BUY,True,SELL,крупные (сильный вердикт),False
2025-06-16 05:00:00+00:00,1.1560693979263306,1.1579434871673584,BUY,4.5,False,SELL,-2.5,57.685290115176514,0.8588588588588588,,2025-06,5,0.001874089241027832,BUY,True,SELL,вдогонку нельзя → контртренд,False
