t,sym,dir,score,why,win,month
2025-06-12 05:00:00+00:00,USDJPY,BUY,4.015257607201961,низ диапазона,False,2025-06
2025-06-12 10:00:00+00:00,USDCHF,BUY,4.141979926906861,низ диапазона,True,2025-06
2025-06-12 15:00:00+00:00,USDCAD,BUY,1.7448951638121064,низ диапазона,False,2025-06
2025-06-12 20:00:00+00:00,USDCHF,BUY,3.815331074594486,низ диапазона,False,2025-06
2025-06-13 00:00:00+00:00,AUDUSD,BUY,3.0505387894606013,низ диапазона,True,2025-06
2025-06-13 05:00:00+00:00,NZDUSD,BUY,2.635589580700246,низ диапазона,False,2025-06
2025-06-13 10:00:00+00:00,NZDUSD,BUY,3.916889887365138,низ диапазона,True,2025-06
2025-06-13 15:00:00+00:00,USDCAD,BUY,2.7526487945719396,низ диапазона,True,2025-06
2025-06-16 10:00:00+00:00,NZDUSD,SELL,0.9572072144994674,верх диапазона + тренд вниз,False,2025-06
2025-06-16 15:00:00+00:00,USDCAD,BUY,1.2783623934249935,RSI перепроданность,True,2025-06
2025-06-17 00:00:00+00:00,USDCHF,SELL,1.6740341935751917,верх диапазона + тренд вниз,True,2025-06
2025-06-17 05:00:00+00:00,GBPUSD,BUY,2.299245885847281,низ диапазона,False,2025-06
2025-06-17 15:00:00+00:00,GBPUSD,BUY,2.7071684571762744,низ диапазона,False,2025-06
2025-06-17 20:00:00+00:00,GBPUSD,BUY,3.9226074866425527,низ диапазона,True,2025-06
2025-06-18 00:00:00+00:00,GBPUSD,BUY,4.209196328012264,низ диапазона,True,2025-06
2025-06-18 05:00:00+00:00,GBPUSD,BUY,2.413774599223546,низ диапазона,False,2025-06
2025-06-18 10:00:00+00:00,USDJPY,BUY,3.6431722066621477,низ диапазона,False,2025-06
2025-06-18 15:00:00+00:00,USDJPY,BUY,4.7818852171890605,низ диапазона,True,2025-06
2025-06-19 00:00:00+00:00,GBPUSD,BUY,0.843689720947518,низ диапазона,False,2025-06
2025-06-19 05:00:00+00:00,NZDUSD,BUY,4.662974698135872,низ диапазона,False,2025-06
2025-06-19 10:00:00+00:00,NZDUSD,BUY,3.2443852310086103,низ диапазона,False,2025-06
2025-06-19 15:00:00+00:00,AUDUSD,BUY,1.925772798272887,низ диапазона,True,2025-06
2025-06-19 20:00:00+00:00,USDCHF,BUY,2.830847608778068,низ диапазона,True,2025-06
2025-06-20 00:00:00+00:00,USDCHF,BUY,2.2917350031881525,низ диапазона,True,2025-06
2025-06-20 05:00:00+00:00,USDCAD,BUY,3.2138533646567433,низ диапазона,True,2025-06
2025-06-20 10:00:00+00:00,GBPUSD,SELL,0.9287420204250448,верх диапазона + тренд вниз,True,2025-06
2025-06-20 15:00:00+00:00,NZDUSD,BUY,2.4841213548468817,низ диапазона,True,2025-06
2025-06-20 20:00:00+00:00,AUDUSD,BUY,2.841880373820895,низ диапазона,False,2025-06
2025-06-23 00:00:00+00:00,AUDUSD,BUY,4.035145630189159,низ диапазона,False,2025-06
2025-06-23 05:00:00+00:00,NZDUSD,BUY,3.652334709325729,низ диапазона,False,2025-06
2025-06-23 10:00:00+00:00,NZDUSD,BUY,4.678873538888565,низ диапазона,True,2025-06
2025-06-23 15:00:00+00:00,USDCHF,BUY,2.583849694832482,низ диапазона,False,2025-06
2025-06-23 20:00:00+00:00,USDJPY,BUY,2.9682820205318663,низ диапазона,False,2025-06
2025-06-24 00:00:00+00:00,USDJPY,BUY,5.99560905933106,низ диапазона,False,2025-06
2025-06-24 05:00:00+00:00,USDJPY,BUY,5.491679969246044,низ диапазона,False,2025-06
2025-06-24 10:00:00+00:00,EURJPY,BUY,3.4542569266853818,низ диапазона,False,2025-06
2025-06-24 15:00:00+00:00,EURJPY,BUY,2.253726282268646,RSI перепроданность,False,2025-06
2025-06-24 20:00:00+00:00,USDCHF,BUY,3.254604043597261,низ диапазона,False,2025-06
2025-06-25 00:00:00+00:00,USDCHF,BUY,3.2284764638782995,низ диапазона,True,2025-06
2025-06-25 10:00:00+00:00,USDJPY,SELL,2.200605147098991,верх диапазона + тренд вниз,True,2025-06
2025-06-25 20:00:00+00:00,USDCHF,BUY,1.9769745001383414,низ диапазона,False,2025-06
2025-06-26 00:00:00+00:00,USDJPY,BUY,4.609708097842845,низ диапазона,False,2025-06
2025-06-26 05:00:00+00:00,USDJPY,BUY,4.193998052079453,низ диапазона,False,2025-06
2025-06-26 10:00:00+00:00,USDCAD,BUY,3.5408850416582833,низ диапазона,False,2025-06
2025-06-26 15:00:00+00:00,USDCAD,BUY,4.13040229099373,низ диапазона,True,2025-06
2025-06-26 20:00:00+00:00,USDCAD,BUY,2.2360950007465004,RSI перепроданность,False,2025-06
2025-06-27 05:00:00+00:00,EURUSD,BUY,2.260179316967212,низ диапазона,True,2025-06
2025-06-27 10:00:00+00:00,AUDUSD,BUY,1.8547052866559925,низ диапазона,False,2025-06
2025-06-27 15:00:00+00:00,USDCAD,SELL,1.203165366341396,верх диапазона + тренд вниз,False,2025-06
